구분,한경1호기(kWh),한경2호기(kWh),한경3호기(kWh),한경5호기(kWh),한경6호기(kWh),한경7호기(kWh),한경8호기(kWh),한경9호기(kWh)
2018-05-28,1642,0,2149,0,3784,2540,3248,4464
2018-05-29,7,0,57,0,272,612,320,688
2018-05-30,54,0,0,0,356,140,288,472
2018-05-31,2811,0,1938,0,5472,6288,3808,7360
2018-06-01,447,0,187,0,2724,2624,2984,3192
2018-06-02,190,0,1482,0,1536,2468,3464,2848
2018-06-03,574,0,898,0,1712,2400,2352,2480
2018-06-04,2908,0,407,0,3656,5176,6512,5712
2018-06-05,1864,0,1715,0,10276,7396,6016,4192
2018-06-06,0,0,0,0,156,8,72,56
2018-06-07,177,0,175,0,532,328,992,832
2018-06-08,2396,0,2558,0,6376,7692,6416,9288
2018-06-09,652,0,1034,0,3052,2036,2696,2576
2018-06-10,2290,0,1919,0,7516,5288,2952,2440
2018-06-11,1435,0,1579,0,6160,3556,3832,4024
2018-06-12,137,0,134,0,1536,1836,1464,1920
2018-06-13,3930,0,4149,0,7948,4728,8192,8144
2018-06-14,1017,0,2123,0,3528,2652,5128,3368
2018-06-15,249,0,1036,0,3508,1780,2256,1752
2018-06-16,6930,0,4783,0,19248,12468,10408,9584
2018-06-17,23,0,0,0,228,180,128,248
2018-06-18,47,0,52,0,352,148,416,408
2018-06-19,2759,0,2499,0,5284,4680,5496,5248
2018-06-20,5779,0,5412,0,14060,12756,12552,13728
2018-06-21,2885,0,1327,0,5884,6144,5960,7808
2018-06-22,252,0,0,0,1760,1132,2360,1624
2018-06-23,319,0,0,0,1596,1392,1192,1648
2018-06-24,345,0,0,0,1336,1836,1464,2160
2018-06-25,5367,0,5193,0,6456,6532,10176,10376
2018-06-26,18608,0,21508,0,36704,17424,36896,43208
2018-06-27,15453,0,15366,0,27912,19248,30824,38152
2018-06-28,13357,0,15737,0,22984,21680,27920,33040
2018-06-29,6622,0,7519,0,10836,88,13472,16880
2018-06-30,6933,0,7620,0,14288,9848,14920,15432
2018-07-01,24166,0,18559,0,59616,6712,57152,19712
2018-07-02,22043,0,10261,0,45128,1824,44536,41432
2018-07-03,18682,0,21635,0,48092,0,37464,47664
2018-07-04,2171,0,1520,0,4348,0,1144,4960
2018-07-05,82,0,351,0,1784,0,1800,1184
2018-07-06,1458,0,1137,0,5204,1284,1944,2256
2018-07-07,773,0,951,0,3116,1296,880,1312
2018-07-08,151,0,145,0,804,352,520,616
2018-07-09,7884,462,8079,0,11932,0,14016,14080
2018-07-10,24433,0,24212,0,47940,0,47344,45064
2018-07-11,7000,0,22808,0,42604,0,44224,43336
2018-07-12,230,0,4668,0,9460,1328,9184,10344
2018-07-13,3,0,394,0,3212,3284,3016,2488
2018-07-14,0,0,0,0,2352,2840,1200,0
2018-07-15,0,0,0,0,1748,392,0,0
2018-07-16,113,0,0,0,456,0,0,0
2018-07-17,0,0,0,0,44,12,0,0
2018-07-18,59,0,0,0,492,340,0,0
2018-07-19,135,0,80,0,2584,2364,0,1880
2018-07-20,0,0,71,0,816,712,0,13728
2018-07-21,0,0,6664,0,11532,11788,0,0
2018-07-22,0,0,26529,0,56868,58000,0,0
2018-07-23,552,0,16361,0,27072,26828,4568,14072
2018-07-24,0,0,8268,0,14752,4872,14928,6160
2018-07-25,24,0,4403,0,8180,0,7920,0
2018-07-26,0,0,0,0,108,0,72,0
2018-07-27,136,0,289,0,896,504,664,0
2018-07-28,3333,0,3734,0,4292,0,0,0
